,zbest,F3GHz,logL10cm,logL21cm,logLTIRSF,SFG,MNUV,MU,MB,MV,MR,MI,MZ,MY,MJ,MH,MK,MASS_MED,MASS_BEST,SFR_MED,SFR_BEST,L_NU,L_R,L_K
0,1.5457,16147.04,25.839252,25.717876,11.6626,0.0,-18.623,-21.464,-22.299,-22.895,-23.048,-23.374,-23.643,-23.797,-24.214,-24.53,-24.284,11.142,11.1304,-1.40542,-1.43741,27.7465493916788,29.8776262117389,30.193749076952
1,1.541,15602.2,26.238592,26.45753,11.540435,0.0,-21.098,-21.8,-21.964,-22.545,-22.783,-22.839,-23.229,-23.008,-23.349,-23.627,-23.51,10.0551,10.0629,2.3901,2.34658,30.3321193916788,30.1758262117389,30.110579076952
2,1.555,11369.18,25.802593,25.77176,12.118613,0.0,-16.628,-18.416,-18.701,-19.737,-17.158,-20.573,-20.255,-20.408,-20.538,-20.761,-20.594,9.41667,9.48718,0.751766,0.3536,28.4868893916788,28.8704962117389,28.899489076952
3,2.4455,7746.012,26.569344,26.90428,12.010794,0.0,-19.77,-22.131,-23.097,-23.559,-23.815,-24.036,-24.248,-24.357,-24.466,-24.653,-24.444,11.0555,11.0655,-2.25978,-2.2636,28.3754993916788,30.1515262117389,30.382799076952
4,1.259,9212.93,25.896793,26.196741,11.263206,0.0,-18.524,-20.865,-21.731,-22.408,-22.792,-23.254,-23.441,-23.656,-23.831,-24.116,-24.101,11.1999,11.2243,0.70019,0.749476,28.9117593916788,30.0033262117389,30.286759076952
6,2.45,6749.455,25.788485,25.678465,11.481303,0.0,-20.451,-22.526,-23.218,-23.61,-23.838,-24.058,-24.245,-24.353,-24.413,-24.574,-24.337,11.2,11.1887,0.344446,0.338199,28.7309893916788,30.1779262117389,30.383989076952
7,2.238,13523.29,26.615582,26.884518,11.418917,0.0,-20.901,-22.405,-23.081,-23.258,-23.501,-23.866,-24.175,-24.354,-24.504,-24.787,-24.66,11.1841,11.2258,1.88025,1.90416,30.0230193916788,30.4519262117389,30.543139076952
8,1.051,6278.126,25.037176,24.803537,11.411131,0.0,-20.14,-21.413,-21.867,-22.52,-22.787,-23.174,-23.16,-23.341,-23.566,-23.833,-23.807,10.354,10.327,2.69916,2.69171,30.6578193916788,30.4879262117389,30.230159076952
9,0.684,3235.118,24.349741,23.989992,10.490183,0.0,-17.871,-20.127,-20.929,-21.583,-21.858,-22.297,-22.559,-22.75,-22.953,-23.229,-23.022,10.8676,10.8548,-0.0647587,-0.05028,28.1320893916788,29.5054962117389,29.826689076952
10,1.0809,8626.79,25.7529,26.0999,11.910144,0.0,-20.579,-21.755,-22.025,-22.518,-22.757,-22.91,-23.063,-23.178,-23.263,-23.503,-23.576,10.5365,10.5011,1.99977,1.98136,30.1021193916788,30.2318262117389,30.074519076952
11,0.9284,3538.158,25.103271,25.336895,0.0,0.0,-18.051,-20.66,-21.51,-22.244,-22.484,-22.829,-23.128,-23.325,-23.44,-23.753,-23.562,11.1001,11.1141,0.0015051,-0.00560682,28.1923093916788,29.7139262117389,30.049109076952
13,2.0991,3150.971,25.849981,26.072687,11.403753,1.0,-21.141,-22.94,-23.663,-23.993,-24.231,-24.432,-24.66,-24.761,-24.816,-25.04,-24.811,11.25,11.259,0.7,0.680378,29.0191393916788,30.3066262117389,30.495539076952
14,2.4355,3178.244,26.048517,26.303423,12.700539,0.0,-19.799,-21.636,-22.36,-22.778,-23.033,-23.432,-23.744,-23.919,-24.076,-24.328,-24.168,11.0207,11.0108,2.13854,1.5233,29.6633193916788,30.2135262117389,30.319229076952
15,0.323,4133.048,24.118296,24.361103,9.976039,0.0,-17.559,-21.511,-22.598,-23.298,-23.691,-24.086,-24.378,-24.593,-24.815,-25.031,-24.687,11.7,11.7877,-0.9,-0.837583,27.7996693916788,30.1715262117389,30.573739076952
16,1.3564,2276.964,24.840693,24.671701,12.273006,1.0,-19.864,-21.932,-22.7,-23.23,-23.457,-23.933,-24.18,-24.291,-24.671,-24.926,-24.88,11.3234,11.3181,1.76075,1.81933,29.9845193916788,30.5343262117389,30.584539076952
17,2.625,2372.779,25.882265,26.070372,11.816251,0.0,-20.959,-22.313,-23.024,-23.365,-23.385,-23.785,-24.128,-24.294,-24.444,-24.717,-24.594,11.0724,11.0999,2.12721,1.88544,30.0204193916788,30.4446262117389,30.499239076952
18,1.1761,2132.263,25.12846,25.368525,0.0,0.0,-19.125,-21.206,-21.787,-22.259,-22.639,-23.121,-23.391,-23.564,-23.837,-24.098,-23.939,10.9278,10.9404,1.81629,1.76264,29.9066193916788,30.3039262117389,30.293729076952
19,0.349,2969.639,24.05666,24.314495,10.268801,0.0,-17.949,-20.971,-21.87,-22.565,-22.884,-23.279,-23.569,-23.678,-23.93,-24.121,-23.773,11.4,11.3434,-0.3,-0.324174,28.0979293916788,29.8797262117389,30.163329076952
20,0.218,2324.704,23.44041,23.499577,10.212709,0.0,-92.48,-19.97,-21.095,-21.837,-22.038,-22.628,-22.954,-23.167,-23.44,-23.589,-23.352,11.1503,11.1395,-0.599414,-0.6247,27.6641593916788,29.6247662117389,29.989159076952
21,1.6798,2405.449,25.747389,26.149023,11.641106,1.0,-18.871,-20.327,-21.149,-21.66,-21.955,-22.341,-22.664,-22.652,-22.838,-23.134,-23.022,10.4774,10.563,1.60594,1.31507,29.4704193916788,29.9067262117389,29.905819076952
